logradouro,cidade,estado
"Rua 120, Bairro Ianetama",Castanhal,PA
"Alameda 121, Bairro Jaderlândia",Castanhal,PA
"Rua 122, Bairro Estrela",Castanhal,PA
"Alameda 123, Bairro Saudade",Castanhal,PA
"Rua 124, Bairro Apeú",Castanhal,PA
"Alameda 125, Bairro Bom Jesus",Castanhal,PA
"Rua 126, Bairro Centro",Castanhal,PA
"Alameda 127, Bairro Ianetama",Castanhal,PA
"Rua 128, Bairro Jaderlândia",Castanhal,PA
"Alameda 129, Bairro Estrela",Castanhal,PA
"Rua 130, Bairro Saudade",Castanhal,PA
"Alameda 131, Bairro Apeú",Castanhal,PA
"Rua 132, Bairro Bom Jesus",Castanhal,PA
"Alameda 133, Bairro Centro",Castanhal,PA
"Rua 134, Bairro Ianetama",Castanhal,PA
"Alameda 135, Bairro Jaderlândia",Castanhal,PA
"Rua 136, Bairro Estrela",Castanhal,PA
"Alameda 137, Bairro Saudade",Castanhal,PA
"Rua 138, Bairro Apeú",Castanhal,PA
"Alameda 139, Bairro Bom Jesus",Castanhal,PA
"Rua 140, Bairro Centro",Castanhal,PA
"Alameda 141, Bairro Ianetama",Castanhal,PA
"Rua 142, Bairro Jaderlândia",Castanhal,PA
"Alameda 143, Bairro Estrela",Castanhal,PA
"Rua 144, Bairro Saudade",Castanhal,PA
"Alameda 145, Bairro Apeú",Castanhal,PA
"Rua 146, Bairro Bom Jesus",Castanhal,PA
"Alameda 147, Bairro Centro",Castanhal,PA
"Rua 148, Bairro Ianetama",Castanhal,PA
"Alameda 149, Bairro Jaderlândia",Castanhal,PA
"Rua 150, Bairro Estrela",Castanhal,PA
"Alameda 151, Bairro Saudade",Castanhal,PA
"Rua 152, Bairro Apeú",Castanhal,PA
"Alameda 153, Bairro Bom Jesus",Castanhal,PA
"Rua 154, Bairro Centro",Castanhal,PA
"Alameda 155, Bairro Ianetama",Castanhal,PA
"Rua 156, Bairro Jaderlândia",Castanhal,PA
"Alameda 157, Bairro Estrela",Castanhal,PA
"Rua 158, Bairro Saudade",Castanhal,PA
"Alameda 159, Bairro Apeú",Castanhal,PA
"Rua 160, Bairro Bom Jesus",Castanhal,PA
"Alameda 161, Bairro Centro",Castanhal,PA
"Rua 162, Bairro Ianetama",Castanhal,PA
"Alameda 163, Bairro Jaderlândia",Castanhal,PA
"Rua 164, Bairro Estrela",Castanhal,PA
"Alameda 165, Bairro Saudade",Castanhal,PA
"Rua 166, Bairro Apeú",Castanhal,PA
"Alameda 167, Bairro Bom Jesus",Castanhal,PA
"Rua 168, Bairro Centro",Castanhal,PA
"Alameda 169, Bairro Ianetama",Castanhal,PA
"Rua 170, Bairro Jaderlândia",Castanhal,PA
"Alameda 171, Bairro Estrela",Castanhal,PA
"Rua 172, Bairro Saudade",Castanhal,PA
"Alameda 173, Bairro Apeú",Castanhal,PA
"Rua 174, Bairro Bom Jesus",Castanhal,PA
"Alameda 175, Bairro Centro",Castanhal,PA
"Rua 176, Bairro Ianetama",Castanhal,PA
"Alameda 177, Bairro Jaderlândia",Castanhal,PA
"Rua 178, Bairro Estrela",Castanhal,PA
"Alameda 179, Bairro Saudade",Castanhal,PA
"Rua 180, Bairro Apeú",Castanhal,PA
"Alameda 181, Bairro Bom Jesus",Castanhal,PA
"Rua 182, Bairro Centro",Castanhal,PA
"Alameda 183, Bairro Ianetama",Castanhal,PA
"Rua 184, Bairro Jaderlândia",Castanhal,PA
"Alameda 185, Bairro Estrela",Castanhal,PA
"Rua 186, Bairro Saudade",Castanhal,PA
"Alameda 187, Bairro Apeú",Castanhal,PA
"Rua 188, Bairro Bom Jesus",Castanhal,PA
"Alameda 189, Bairro Centro",Castanhal,PA
"Rua 190, Bairro Ianetama",Castanhal,PA
"Alameda 191, Bairro Jaderlândia",Castanhal,PA
"Rua 192, Bairro Estrela",Castanhal,PA
"Alameda 193, Bairro Saudade",Castanhal,PA
"Rua 194, Bairro Apeú",Castanhal,PA
"Alameda 195, Bairro Bom Jesus",Castanhal,PA
"Rua 196, Bairro Centro",Castanhal,PA
"Alameda 197, Bairro Ianetama",Castanhal,PA
"Rua 198, Bairro Jaderlândia",Castanhal,PA
"Alameda 199, Bairro Estrela",Castanhal,PA
"Rua 200, Bairro Saudade",Castanhal,PA
"Alameda 201, Bairro Apeú",Castanhal,PA
"Rua 202, Bairro Bom Jesus",Castanhal,PA
"Alameda 203, Bairro Centro",Castanhal,PA
"Rua 204, Bairro Ianetama",Castanhal,PA
"Alameda 205, Bairro Jaderlândia",Castanhal,PA
"Rua 206, Bairro Estrela",Castanhal,PA
"Alameda 207, Bairro Saudade",Castanhal,PA
"Rua 208, Bairro Apeú",Castanhal,PA
"Alameda 209, Bairro Bom Jesus",Castanhal,PA
"Rua 210, Bairro Centro",Castanhal,PA
"Alameda 211, Bairro Ianetama",Castanhal,PA
"Rua 212, Bairro Jaderlândia",Castanhal,PA
"Alameda 213, Bairro Estrela",Castanhal,PA
"Rua 214, Bairro Saudade",Castanhal,PA
"Alameda 215, Bairro Apeú",Castanhal,PA
"Rua 216, Bairro Bom Jesus",Castanhal,PA
"Alameda 217, Bairro Centro",Castanhal,PA
"Rua 218, Bairro Ianetama",Castanhal,PA
"Alameda 219, Bairro Jaderlândia",Castanhal,PA
"Rua 220, Bairro Estrela",Castanhal,PA
"Alameda 221, Bairro Saudade",Castanhal,PA
"Rua 222, Bairro Apeú",Castanhal,PA
"Alameda 223, Bairro Bom Jesus",Castanhal,PA
"Rua 224, Bairro Centro",Castanhal,PA
"Alameda 225, Bairro Ianetama",Castanhal,PA
"Rua 226, Bairro Jaderlândia",Castanhal,PA
"Alameda 227, Bairro Estrela",Castanhal,PA
"Rua 228, Bairro Saudade",Castanhal,PA
"Alameda 229, Bairro Apeú",Castanhal,PA
"Rua 230, Bairro Bom Jesus",Castanhal,PA
"Alameda 231, Bairro Centro",Castanhal,PA
"Rua 232, Bairro Ianetama",Castanhal,PA
"Alameda 233, Bairro Jaderlândia",Castanhal,PA
"Rua 234, Bairro Estrela",Castanhal,PA
"Alameda 235, Bairro Saudade",Castanhal,PA
"Rua 236, Bairro Apeú",Castanhal,PA
"Alameda 237, Bairro Bom Jesus",Castanhal,PA
"Rua 238, Bairro Centro",Castanhal,PA
"Alameda 239, Bairro Ianetama",Castanhal,PA
"Rua 240, Bairro Jaderlândia",Castanhal,PA
"Alameda 241, Bairro Estrela",Castanhal,PA
"Rua 242, Bairro Saudade",Castanhal,PA
"Alameda 243, Bairro Apeú",Castanhal,PA
"Rua 244, Bairro Bom Jesus",Castanhal,PA
"Alameda 245, Bairro Centro",Castanhal,PA
"Rua 246, Bairro Ianetama",Castanhal,PA
"Alameda 247, Bairro Jaderlândia",Castanhal,PA
"Rua 248, Bairro Estrela",Castanhal,PA
"Alameda 249, Bairro Saudade",Castanhal,PA
"Rua 250, Bairro Apeú",Castanhal,PA
"Alameda 251, Bairro Bom Jesus",Castanhal,PA
"Rua 252, Bairro Centro",Castanhal,PA
"Alameda 253, Bairro Ianetama",Castanhal,PA
"Rua 254, Bairro Jaderlândia",Castanhal,PA
"Alameda 255, Bairro Estrela",Castanhal,PA
"Rua 256, Bairro Saudade",Castanhal,PA
"Alameda 257, Bairro Apeú",Castanhal,PA
"Rua 258, Bairro Bom Jesus",Castanhal,PA
"Alameda 259, Bairro Centro",Castanhal,PA
"Rua 260, Bairro Ianetama",Castanhal,PA
"Alameda 261, Bairro Jaderlândia",Castanhal,PA
"Rua 262, Bairro Estrela",Castanhal,PA
"Alameda 263, Bairro Saudade",Castanhal,PA
"Rua 264, Bairro Apeú",Castanhal,PA
"Alameda 265, Bairro Bom Jesus",Castanhal,PA
"Rua 266, Bairro Centro",Castanhal,PA
"Alameda 267, Bairro Ianetama",Castanhal,PA
"Rua 268, Bairro Jaderlândia",Castanhal,PA
"Alameda 269, Bairro Estrela",Castanhal,PA
"Rua 270, Bairro Saudade",Castanhal,PA
"Alameda 271, Bairro Apeú",Castanhal,PA
"Rua 272, Bairro Bom Jesus",Castanhal,PA
"Alameda 273, Bairro Centro",Castanhal,PA
"Rua 274, Bairro Ianetama",Castanhal,PA
"Alameda 275, Bairro Jaderlândia",Castanhal,PA
"Rua 276, Bairro Estrela",Castanhal,PA
"Alameda 277, Bairro Saudade",Castanhal,PA
"Rua 278, Bairro Apeú",Castanhal,PA
"Alameda 279, Bairro Bom Jesus",Castanhal,PA
"Rua 280, Bairro Centro",Castanhal,PA
"Alameda 281, Bairro Ianetama",Castanhal,PA
"Rua 282, Bairro Jaderlândia",Castanhal,PA
"Alameda 283, Bairro Estrela",Castanhal,PA
"Rua 284, Bairro Saudade",Castanhal,PA
"Alameda 285, Bairro Apeú",Castanhal,PA
"Rua 286, Bairro Bom Jesus",Castanhal,PA
"Alameda 287, Bairro Centro",Castanhal,PA
"Rua 288, Bairro Ianetama",Castanhal,PA
"Alameda 289, Bairro Jaderlândia",Castanhal,PA
"Rua 290, Bairro Estrela",Castanhal,PA
"Alameda 291, Bairro Saudade",Castanhal,PA
"Rua 292, Bairro Apeú",Castanhal,PA
"Alameda 293, Bairro Bom Jesus",Castanhal,PA
"Rua 294, Bairro Centro",Castanhal,PA
"Alameda 295, Bairro Ianetama",Castanhal,PA
"Rua 296, Bairro Jaderlândia",Castanhal,PA
"Alameda 297, Bairro Estrela",Castanhal,PA
"Rua 298, Bairro Saudade",Castanhal,PA
"Alameda 299, Bairro Apeú",Castanhal,PA
"Rua 300, Bairro Bom Jesus",Castanhal,PA
"Alameda 301, Bairro Centro",Castanhal,PA
"Rua 302, Bairro Ianetama",Castanhal,PA
"Alameda 303, Bairro Jaderlândia",Castanhal,PA
"Rua 304, Bairro Estrela",Castanhal,PA
"Alameda 305, Bairro Saudade",Castanhal,PA
"Rua 306, Bairro Apeú",Castanhal,PA
"Alameda 307, Bairro Bom Jesus",Castanhal,PA
"Rua 308, Bairro Centro",Castanhal,PA
"Alameda 309, Bairro Ianetama",Castanhal,PA
"Rua 310, Bairro Jaderlândia",Castanhal,PA
"Alameda 311, Bairro Estrela",Castanhal,PA
"Rua 312, Bairro Saudade",Castanhal,PA
"Alameda 313, Bairro Apeú",Castanhal,PA
"Rua 314, Bairro Bom Jesus",Castanhal,PA
"Alameda 315, Bairro Centro",Castanhal,PA
"Rua 316, Bairro Ianetama",Castanhal,PA
"Alameda 317, Bairro Jaderlândia",Castanhal,PA
"Rua 318, Bairro Estrela",Castanhal,PA
"Alameda 319, Bairro Saudade",Castanhal,PA
"Rua 320, Bairro Apeú",Castanhal,PA
"Alameda 321, Bairro Bom Jesus",Castanhal,PA
"Rua 322, Bairro Centro",Castanhal,PA
"Alameda 323, Bairro Ianetama",Castanhal,PA
"Rua 324, Bairro Jaderlândia",Castanhal,PA
"Alameda 325, Bairro Estrela",Castanhal,PA
"Rua 326, Bairro Saudade",Castanhal,PA
"Alameda 327, Bairro Apeú",Castanhal,PA
"Rua 328, Bairro Bom Jesus",Castanhal,PA
"Alameda 329, Bairro Centro",Castanhal,PA
"Rua 330, Bairro Ianetama",Castanhal,PA
"Alameda 331, Bairro Jaderlândia",Castanhal,PA
"Rua 332, Bairro Estrela",Castanhal,PA
"Alameda 333, Bairro Saudade",Castanhal,PA
"Rua 334, Bairro Apeú",Castanhal,PA
"Alameda 335, Bairro Bom Jesus",Castanhal,PA
"Rua 336, Bairro Centro",Castanhal,PA
"Alameda 337, Bairro Ianetama",Castanhal,PA
"Rua 338, Bairro Jaderlândia",Castanhal,PA
"Alameda 339, Bairro Estrela",Castanhal,PA
"Rua 340, Bairro Saudade",Castanhal,PA
"Alameda 341, Bairro Apeú",Castanhal,PA
"Rua 342, Bairro Bom Jesus",Castanhal,PA
"Alameda 343, Bairro Centro",Castanhal,PA
"Rua 344, Bairro Ianetama",Castanhal,PA
"Alameda 345, Bairro Jaderlândia",Castanhal,PA
"Rua 346, Bairro Estrela",Castanhal,PA
"Alameda 347, Bairro Saudade",Castanhal,PA
"Rua 348, Bairro Apeú",Castanhal,PA
"Alameda 349, Bairro Bom Jesus",Castanhal,PA
"Rua 350, Bairro Centro",Castanhal,PA
"Alameda 351, Bairro Ianetama",Castanhal,PA
"Rua 352, Bairro Jaderlândia",Castanhal,PA
"Alameda 353, Bairro Estrela",Castanhal,PA
"Rua 354, Bairro Saudade",Castanhal,PA
"Alameda 355, Bairro Apeú",Castanhal,PA
"Rua 356, Bairro Bom Jesus",Castanhal,PA
"Alameda 357, Bairro Centro",Castanhal,PA
"Rua 358, Bairro Ianetama",Castanhal,PA
"Alameda 359, Bairro Jaderlândia",Castanhal,PA
"Rua 360, Bairro Estrela",Castanhal,PA
"Alameda 361, Bairro Saudade",Castanhal,PA
"Rua 362, Bairro Apeú",Castanhal,PA
"Alameda 363, Bairro Bom Jesus",Castanhal,PA
"Rua 364, Bairro Centro",Castanhal,PA
"Alameda 365, Bairro Ianetama",Castanhal,PA
"Rua 366, Bairro Jaderlândia",Castanhal,PA
"Alameda 367, Bairro Estrela",Castanhal,PA
"Rua 368, Bairro Saudade",Castanhal,PA
"Alameda 369, Bairro Apeú",Castanhal,PA
"Rua 370, Bairro Bom Jesus",Castanhal,PA
"Alameda 371, Bairro Centro",Castanhal,PA
"Rua 372, Bairro Ianetama",Castanhal,PA
"Alameda 373, Bairro Jaderlândia",Castanhal,PA
"Rua 374, Bairro Estrela",Castanhal,PA
"Alameda 375, Bairro Saudade",Castanhal,PA
"Rua 376, Bairro Apeú",Castanhal,PA
"Alameda 377, Bairro Bom Jesus",Castanhal,PA
"Rua 378, Bairro Centro",Castanhal,PA
"Alameda 379, Bairro Ianetama",Castanhal,PA
"Rua 380, Bairro Jaderlândia",Castanhal,PA
"Alameda 381, Bairro Estrela",Castanhal,PA
"Rua 382, Bairro Saudade",Castanhal,PA
"Alameda 383, Bairro Apeú",Castanhal,PA
"Rua 384, Bairro Bom Jesus",Castanhal,PA
"Alameda 385, Bairro Centro",Castanhal,PA
"Rua 386, Bairro Ianetama",Castanhal,PA
"Alameda 387, Bairro Jaderlândia",Castanhal,PA
"Rua 388, Bairro Estrela",Castanhal,PA
"Alameda 389, Bairro Saudade",Castanhal,PA
"Rua 390, Bairro Apeú",Castanhal,PA
"Alameda 391, Bairro Bom Jesus",Castanhal,PA
"Rua 392, Bairro Centro",Castanhal,PA
"Alameda 393, Bairro Ianetama",Castanhal,PA
"Rua 394, Bairro Jaderlândia",Castanhal,PA
"Alameda 395, Bairro Estrela",Castanhal,PA
"Rua 396, Bairro Saudade",Castanhal,PA
"Alameda 397, Bairro Apeú",Castanhal,PA
"Rua 398, Bairro Bom Jesus",Castanhal,PA
"Alameda 399, Bairro Centro",Castanhal,PA
"Rua 400, Bairro Ianetama",Castanhal,PA
"Alameda 401, Bairro Jaderlândia",Castanhal,PA
"Rua 402, Bairro Estrela",Castanhal,PA
"Alameda 403, Bairro Saudade",Castanhal,PA
"Rua 404, Bairro Apeú",Castanhal,PA
"Alameda 405, Bairro Bom Jesus",Castanhal,PA
"Rua 406, Bairro Centro",Castanhal,PA
"Alameda 407, Bairro Ianetama",Castanhal,PA
"Rua 408, Bairro Jaderlândia",Castanhal,PA
"Alameda 409, Bairro Estrela",Castanhal,PA
"Rua 410, Bairro Saudade",Castanhal,PA
"Alameda 411, Bairro Apeú",Castanhal,PA
"Rua 412, Bairro Bom Jesus",Castanhal,PA
"Alameda 413, Bairro Centro",Castanhal,PA
"Rua 414, Bairro Ianetama",Castanhal,PA
"Alameda 415, Bairro Jaderlândia",Castanhal,PA
"Rua 416, Bairro Estrela",Castanhal,PA
"Alameda 417, Bairro Saudade",Castanhal,PA
"Rua 418, Bairro Apeú",Castanhal,PA
"Alameda 419, Bairro Bom Jesus",Castanhal,PA
"Rua 420, Bairro Centro",Castanhal,PA
"Alameda 421, Bairro Ianetama",Castanhal,PA
"Rua 422, Bairro Jaderlândia",Castanhal,PA
"Alameda 423, Bairro Estrela",Castanhal,PA
"Rua 424, Bairro Saudade",Castanhal,PA
"Alameda 425, Bairro Apeú",Castanhal,PA
"Rua 426, Bairro Bom Jesus",Castanhal,PA
"Alameda 427, Bairro Centro",Castanhal,PA
"Rua 428, Bairro Ianetama",Castanhal,PA
"Alameda 429, Bairro Jaderlândia",Castanhal,PA
"Rua 430, Bairro Estrela",Castanhal,PA
"Alameda 431, Bairro Saudade",Castanhal,PA
"Rua 432, Bairro Apeú",Castanhal,PA
"Alameda 433, Bairro Bom Jesus",Castanhal,PA
"Rua 434, Bairro Centro",Castanhal,PA
"Alameda 435, Bairro Ianetama",Castanhal,PA
"Rua 436, Bairro Jaderlândia",Castanhal,PA
"Alameda 437, Bairro Estrela",Castanhal,PA
"Rua 438, Bairro Saudade",Castanhal,PA
"Alameda 439, Bairro Apeú",Castanhal,PA
"Rua 440, Bairro Bom Jesus",Castanhal,PA
"Alameda 441, Bairro Centro",Castanhal,PA
"Rua 442, Bairro Ianetama",Castanhal,PA
"Alameda 443, Bairro Jaderlândia",Castanhal,PA
"Rua 444, Bairro Estrela",Castanhal,PA
"Alameda 445, Bairro Saudade",Castanhal,PA
"Rua 446, Bairro Apeú",Castanhal,PA
"Alameda 447, Bairro Bom Jesus",Castanhal,PA
"Rua 448, Bairro Centro",Castanhal,PA
"Alameda 449, Bairro Ianetama",Castanhal,PA
"Rua 450, Bairro Jaderlândia",Castanhal,PA
"Alameda 451, Bairro Estrela",Castanhal,PA
"Rua 452, Bairro Saudade",Castanhal,PA
"Alameda 453, Bairro Apeú",Castanhal,PA
"Rua 454, Bairro Bom Jesus",Castanhal,PA
"Alameda 455, Bairro Centro",Castanhal,PA
"Rua 456, Bairro Ianetama",Castanhal,PA
"Alameda 457, Bairro Jaderlândia",Castanhal,PA
"Rua 458, Bairro Estrela",Castanhal,PA
"Alameda 459, Bairro Saudade",Castanhal,PA
"Rua 460, Bairro Apeú",Castanhal,PA
"Alameda 461, Bairro Bom Jesus",Castanhal,PA
"Rua 462, Bairro Centro",Castanhal,PA
"Alameda 463, Bairro Ianetama",Castanhal,PA
"Rua 464, Bairro Jaderlândia",Castanhal,PA
"Alameda 465, Bairro Estrela",Castanhal,PA
"Rua 466, Bairro Saudade",Castanhal,PA
"Alameda 467, Bairro Apeú",Castanhal,PA
"Rua 468, Bairro Bom Jesus",Castanhal,PA
"Alameda 469, Bairro Centro",Castanhal,PA
"Rua 470, Bairro Ianetama",Castanhal,PA
"Alameda 471, Bairro Jaderlândia",Castanhal,PA
"Rua 472, Bairro Estrela",Castanhal,PA
"Alameda 473, Bairro Saudade",Castanhal,PA
"Rua 474, Bairro Apeú",Castanhal,PA
"Alameda 475, Bairro Bom Jesus",Castanhal,PA
"Rua 476, Bairro Centro",Castanhal,PA
"Alameda 477, Bairro Ianetama",Castanhal,PA
"Rua 478, Bairro Jaderlândia",Castanhal,PA
"Alameda 479, Bairro Estrela",Castanhal,PA
"Rua 480, Bairro Saudade",Castanhal,PA
"Alameda 481, Bairro Apeú",Castanhal,PA
"Rua 482, Bairro Bom Jesus",Castanhal,PA
"Alameda 483, Bairro Centro",Castanhal,PA
"Rua 484, Bairro Ianetama",Castanhal,PA
"Alameda 485, Bairro Jaderlândia",Castanhal,PA
"Rua 486, Bairro Estrela",Castanhal,PA
"Alameda 487, Bairro Saudade",Castanhal,PA
"Rua 488, Bairro Apeú",Castanhal,PA
"Alameda 489, Bairro Bom Jesus",Castanhal,PA
"Rua 490, Bairro Centro",Castanhal,PA
"Alameda 491, Bairro Ianetama",Castanhal,PA
"Rua 492, Bairro Jaderlândia",Castanhal,PA
"Alameda 493, Bairro Estrela",Castanhal,PA
"Rua 494, Bairro Saudade",Castanhal,PA
"Alameda 495, Bairro Apeú",Castanhal,PA
"Rua 496, Bairro Bom Jesus",Castanhal,PA
"Alameda 497, Bairro Centro",Castanhal,PA
"Rua 498, Bairro Ianetama",Castanhal,PA
"Alameda 499, Bairro Jaderlândia",Castanhal,PA
"Rua 500, Bairro Estrela",Castanhal,PA
